회사명,고유번호
다코,434003
굿앤엘에스,430964
크레디피아제이십오차유동화전문회사,388953
연방건설산업,179984
브룩스피알아이오토메이션잉크,420143
매경아이비아이,401111
캐드뱅크,435534
엠와이오피삼차유동화전문유한회사,430186
엠와이오피이차유동화전문유한회사,430201
엠와이오피일차유동화전문유한회사,430210
포스미디어,430229
축복할렐루야,140432
한국전자화학,426208
ConnachtCapitalMarketInvestmentLtd.,433262
선진아이티,433749
팀스코리아,433785
에넥스하이테크,196079
세이스텝바이스텝혼합형펀드,435048
유리알파헷지채권혼합형펀드,435057
한기술정보통신,108843
다움종합건설,443232
한국애치슨,248293
고은상사,455662
조흥종합건설,149318
유니즈유통,451347
창대화장품,415105
문화종합건설,420824
한국종합미디어,389439
아이펜텍,454016
대홍염공,452072
지오항공여행사,437602
헤이아니타코리아,365518
태산산업개발,246967
군포종합시장,445559
기우,444657
라시도,448936
예전미디어,405658
세미가,410818
대닉스,416061
인포핸드,448909
지현개발,445407
한국부동산신탁제일차유동화전문유한회사,421647
ISCCaymanLtd.,421425
연산,423265
씨케이알유동화전문유한회사,423292
디에스피,420602
LOMBARDKOREAILIMITED,307505
우신투자자문,241397
외환카드제오차유동화전문유한회사,421896
태연,365712
글로벌금강제일차유동화전문유한회사,388616
글로벌렌탈,230407
뤼미에르에셋,423566
바사라엔터테인먼트,423274
대백유동화전문유한회사,419688
아이키키,419712
진명씨앤씨,414665
한경핫벤처,421869
우리부동산제일차유동화전문유한회사,421957
영진상운,255442
한국토지신탁제오차유동화전문유한회사,427517
다드림커뮤니케이션,376152
ARISAIGASIANSMALLCOMPANIESFUND(L)BHD,382241
싱가포르개발은행서울지점,431501
KTB혼합형펀드,434289
KTB플러스찬스혼합형펀드,434298
KTB포트폴리오스타혼합형펀드,434313
KTB에버스타혼합형펀드,434322
나노이앤씨,429463
지산엔터프라이즈,429515
유아이에스코리아,432175
트리플에스유동화전문유한회사,387033
크레디피아제이십일차유동화전문유한회사,384045
싱가포르개발은행,431608
엘지팩토링제일차유동화전문유한회사,431705
이피에스뱅크,430256
이라이프네트워크,431167
덕성,432315
타오건설,413134
장원코리아,435376
대신통상,110909
서울교육,220695
보성패션,211794
넥스탑,454496
마니빌,455592
제이엘코프,370796
컴마을,199401
삼신크리에이션,369596
호한통상,210078
케이엠티,363398
대백가구,110042
청빛산업개발,364324
삼양전자,248017
숭민코리아유통,452179
유오티앤씨,413754
한라스페코중공업,343163
알본,452513
상일디지털,435978
서전어패럴,368153
웰비스트랜스,455149
한국키엔스,249946
대신생명보험,110839
대성메디테크,293798
대한알루미늄공업,113119
남성엠케이,424389
씨엠액텍,424486
